employee_id,employee_name,team,role_level,week_start,total_hours_worked,overtime_hours_week,after_hours_min_week,meetings_count_week,tasks_completed_week,pto_days_week,days_worked_week,weekend_work_days,busy_period_share,workload_trend_4w,baseline_hours,baseline_after_hrs,baseline_pto,hours_vs_baseline,after_hrs_vs_baseline,pto_vs_baseline,burnout_score,burnout_category
ENG_0001,Employee_0001,QA Automation,Mid,2025-10-06,37.53,5.53,198,13,18,1.0,4,0,1.0,35.97,38.925,141.0,0.0,-1.39,57.0,1.0,14.4,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-10-13,37.44,0.0,167,22,19,0.0,5,0,0.0,39.3,38.925,141.0,0.0,-1.48,26.0,0.0,2.5,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-10-20,21.1,0.0,51,9,18,2.0,3,0,0.0,33.11,38.925,141.0,0.0,-17.82,-90.0,2.0,0.0,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-10-27,49.13,9.13,360,14,30,0.0,5,0,1.0,36.3,38.925,141.0,0.0,10.2,219.0,0.0,34.2,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-11-03,30.0,0.0,127,11,15,1.0,4,0,0.0,34.42,38.925,141.0,0.0,-8.92,-14.0,1.0,0.0,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-11-10,46.42,6.42,221,17,17,0.0,5,0,1.0,36.66,38.925,141.0,0.0,7.5,80.0,0.0,17.9,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-11-17,39.45,0.61,197,10,29,0.0,5,0,0.0,41.25,38.925,141.0,0.0,0.53,56.0,0.0,8.1,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-11-24,37.36,0.03,125,10,27,0.0,5,0,0.0,38.31,38.925,141.0,0.0,-1.56,-16.0,0.0,0.1,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-12-01,39.7,1.26,190,17,21,0.0,5,0,0.0,40.73,38.925,141.0,0.0,0.78,49.0,0.0,8.1,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-12-08,47.8,7.8,288,22,21,0.0,5,0,1.0,41.08,38.925,141.0,0.0,8.88,147.0,0.0,28.1,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-12-15,30.53,0.0,162,16,23,1.0,4,0,0.0,38.85,38.925,141.0,0.0,-8.39,21.0,1.0,1.8,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-12-22,48.67,8.67,237,9,15,0.0,5,0,1.0,41.68,38.925,141.0,0.0,9.75,96.0,0.0,25.9,Low
ENG_0001,Employee_0001,QA Automation,Mid,2025-12-29,39.02,0.76,127,14,26,0.0,5,0,0.0,41.5,38.925,141.0,0.0,0.1,-14.0,0.0,3.9,Low
ENG_0001,Employee_0001,QA Automation,Mid,2026-01-05,36.02,0.2,135,15,24,0.0,5,0,0.0,38.56,38.925,141.0,0.0,-2.91,-6.0,0.0,0.4,Low
ENG_0001,Employee_0001,QA Automation,Mid,2026-01-12,38.870000000000005,0.72,125,24,28,0.0,5,0,0.0,40.64,38.925,141.0,0.0,-0.05,-16.0,0.0,3.0,Low
ENG_0001,Employee_0001,QA Automation,Mid,2026-01-19,40.4,1.17,182,13,31,0.0,5,0,0.0,38.58,38.925,141.0,0.0,1.48,41.0,0.0,5.5,Low
ENG_0001,Employee_0001,QA Automation,Mid,2026-01-26,37.29,0.0,141,13,18,0.0,5,0,0.0,38.14,38.925,141.0,0.0,-1.63,0.0,0.0,0.0,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-06-30,44.7,12.7,377,14,12,0.0,4,0,1.0,44.7,45.57,291.5,0.0,-0.87,85.5,0.0,29.4,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-07-07,45.93,5.93,285,14,24,0.0,5,0,0.0,45.32,45.57,291.5,0.0,0.36,-6.5,0.0,10.4,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-07-14,44.66,4.66,275,13,25,0.0,5,0,0.0,45.1,45.57,291.5,0.0,-0.91,-16.5,0.0,8.2,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-07-21,45.21,5.21,298,18,29,0.0,5,0,0.0,45.12,45.57,291.5,0.0,-0.36,6.5,0.0,9.7,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-07-28,46.43,6.68,256,14,27,0.0,5,0,0.0,45.56,45.57,291.5,0.0,0.86,-35.5,0.0,11.7,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-08-04,47.36,7.36,310,16,25,0.0,5,0,0.0,45.92,45.57,291.5,0.0,1.79,18.5,0.0,14.8,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-08-11,35.92,3.92,206,11,25,1.0,4,0,0.0,43.73,45.57,291.5,0.0,-9.65,-85.5,1.0,6.9,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-08-18,57.84,17.84,485,14,26,0.0,5,0,1.0,46.89,45.57,291.5,0.0,12.27,193.5,0.0,48.7,Moderate
ENG_0002,Employee_0002,DevOps,Mid,2025-08-25,55.29,15.29,541,24,26,0.0,5,0,1.0,49.1,45.57,291.5,0.0,9.72,249.5,0.0,51.1,Moderate
ENG_0002,Employee_0002,DevOps,Mid,2025-09-01,34.36,2.71,194,14,19,1.0,4,0,0.0,45.85,45.57,291.5,0.0,-11.21,-97.5,1.0,5.0,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-09-08,44.19,4.19,227,18,21,0.0,5,0,0.0,47.92,45.57,291.5,0.0,-1.38,-64.5,0.0,9.7,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-09-15,43.86,3.95,283,16,20,0.0,5,0,0.0,44.42,45.57,291.5,0.0,-1.71,-8.5,0.0,6.9,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-09-22,44.97,4.97,257,13,25,0.0,5,0,0.0,41.84,45.57,291.5,0.0,-0.6,-34.5,0.0,8.7,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-09-29,73.36,18.69,691,21,30,0.0,7,2,1.0,51.6,45.57,291.5,0.0,27.79,399.5,0.0,63.7,Moderate
ENG_0002,Employee_0002,DevOps,Mid,2025-10-06,64.48,17.55,529,20,40,0.0,6,1,1.0,56.67,45.57,291.5,0.0,18.91,237.5,0.0,61.6,Moderate
ENG_0002,Employee_0002,DevOps,Mid,2025-10-13,37.010000000000005,5.01,213,13,21,1.0,4,0,0.0,54.96,45.57,291.5,0.0,-8.56,-78.5,1.0,18.2,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-10-20,46.56,6.56,293,12,27,0.0,5,0,0.0,55.35,45.57,291.5,0.0,0.99,1.5,0.0,21.4,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-10-27,56.81,16.81,529,16,23,0.0,5,0,1.0,51.22,45.57,291.5,0.0,11.24,237.5,0.0,54.9,Moderate
ENG_0002,Employee_0002,DevOps,Mid,2025-11-03,63.77,16.98,511,24,33,0.0,6,1,1.0,51.04,45.57,291.5,0.0,18.2,219.5,0.0,53.5,Moderate
ENG_0002,Employee_0002,DevOps,Mid,2025-11-10,36.76,4.76,242,9,20,1.0,4,0,0.0,50.98,45.57,291.5,0.0,-8.81,-49.5,1.0,13.7,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-11-17,55.96,15.96,465,14,26,0.0,5,0,1.0,53.32,45.57,291.5,0.0,10.39,173.5,0.0,50.1,Moderate
ENG_0002,Employee_0002,DevOps,Mid,2025-11-24,37.2,5.2,277,13,24,1.0,4,0,0.0,48.42,45.57,291.5,0.0,-8.37,-14.5,1.0,12.0,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-12-01,55.97,15.97,454,19,24,0.0,5,0,1.0,46.47,45.57,291.5,0.0,10.4,162.5,0.0,42.4,Moderate
ENG_0002,Employee_0002,DevOps,Mid,2025-12-08,44.93,4.93,257,20,25,0.0,5,0,0.0,48.52,45.57,291.5,0.0,-0.64,-34.5,0.0,11.6,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-12-15,27.54,3.54,162,9,14,2.0,3,0,0.0,41.41,45.57,291.5,0.0,-18.03,-129.5,2.0,6.2,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-12-22,45.86,5.86,261,10,24,0.0,5,0,0.0,43.58,45.57,291.5,0.0,0.29,-30.5,0.0,10.3,Low
ENG_0002,Employee_0002,DevOps,Mid,2025-12-29,45.39,5.39,326,14,27,0.0,5,0,0.0,40.93,45.57,291.5,0.0,-0.18,34.5,0.0,12.3,Low
ENG_0002,Employee_0002,DevOps,Mid,2026-01-05,45.42,5.42,276,13,21,0.0,5,0,0.0,41.05,45.57,291.5,0.0,-0.15,-15.5,0.0,9.5,Low
ENG_0002,Employee_0002,DevOps,Mid,2026-01-12,46.75,6.75,262,15,24,0.0,5,0,0.0,45.86,45.57,291.5,0.0,1.18,-29.5,0.0,12.1,Low
ENG_0002,Employee_0002,DevOps,Mid,2026-01-19,36.2,4.2,237,16,18,1.0,4,0,0.0,43.44,45.57,291.5,0.0,-9.37,-54.5,1.0,7.4,Low
ENG_0002,Employee_0002,DevOps,Mid,2026-01-26,44.25,4.25,257,12,24,0.0,5,0,0.0,43.16,45.57,291.5,0.0,-1.32,-34.5,0.0,7.4,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-06-30,37.68,5.68,142,10,19,0.0,4,0,0.0,37.68,45.98,176.5,0.0,-8.3,-34.5,0.0,9.9,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-07-07,46.39,6.39,210,20,28,0.0,5,0,0.0,42.04,45.98,176.5,0.0,0.41,33.5,0.0,14.0,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-07-14,45.57,5.57,106,24,30,0.0,5,0,0.0,43.21,45.98,176.5,0.0,-0.41,-70.5,0.0,9.7,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-07-21,45.49,5.49,143,18,28,0.0,5,0,0.0,43.78,45.98,176.5,0.0,-0.49,-33.5,0.0,9.6,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-07-28,56.59,16.59,317,27,30,0.0,5,0,1.0,48.51,45.98,176.5,0.0,10.61,140.5,0.0,43.3,Moderate
ENG_0003,Employee_0003,Mobile,Senior,2025-08-04,56.8,16.8,279,23,25,0.0,5,0,1.0,51.11,45.98,176.5,0.0,10.82,102.5,0.0,43.1,Moderate
ENG_0003,Employee_0003,Mobile,Senior,2025-08-11,56.64,16.64,284,19,30,0.0,5,0,1.0,53.88,45.98,176.5,0.0,10.66,107.5,0.0,46.0,Moderate
ENG_0003,Employee_0003,Mobile,Senior,2025-08-18,44.6,4.6,82,20,23,0.0,5,0,0.0,53.66,45.98,176.5,0.0,-1.38,-94.5,0.0,15.7,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-08-25,57.14,17.14,272,23,33,0.0,5,0,1.0,53.8,45.98,176.5,0.0,11.16,95.5,0.0,45.8,Moderate
ENG_0003,Employee_0003,Mobile,Senior,2025-09-01,37.7,5.7,99,18,28,1.0,4,0,0.0,49.02,45.98,176.5,0.0,-8.28,-77.5,1.0,13.0,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-09-08,57.13,17.13,314,17,29,0.0,5,0,1.0,49.14,45.98,176.5,0.0,11.15,137.5,0.0,44.6,Moderate
ENG_0003,Employee_0003,Mobile,Senior,2025-09-15,48.82,8.82,192,14,26,0.0,5,0,0.0,50.2,45.98,176.5,0.0,2.84,15.5,0.0,20.9,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-09-22,44.68,4.68,93,14,23,0.0,5,0,0.0,47.08,45.98,176.5,0.0,-1.3,-83.5,0.0,9.3,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-09-29,57.96,17.96,304,12,24,0.0,5,0,1.0,52.15,45.98,176.5,0.0,11.98,127.5,0.0,48.2,Moderate
ENG_0003,Employee_0003,Mobile,Senior,2025-10-06,48.47,8.47,195,21,29,0.0,5,0,0.0,49.98,45.98,176.5,0.0,2.49,18.5,0.0,20.4,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-10-13,46.82,6.82,158,23,27,0.0,5,0,0.0,49.48,45.98,176.5,0.0,0.84,-18.5,0.0,15.4,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-10-20,45.95,5.95,123,20,27,0.0,5,0,0.0,49.8,45.98,176.5,0.0,-0.03,-53.5,0.0,14.2,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-10-27,44.06,4.06,127,19,26,0.0,5,0,0.0,46.32,45.98,176.5,0.0,-1.92,-49.5,0.0,7.4,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-11-03,47.12,7.12,127,18,28,0.0,5,0,0.0,45.99,45.98,176.5,0.0,1.14,-49.5,0.0,12.5,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-11-10,46.35,6.35,124,13,35,0.0,5,0,0.0,45.87,45.98,176.5,0.0,0.37,-52.5,0.0,11.1,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-11-17,45.56,5.56,88,20,17,0.0,5,0,0.0,45.77,45.98,176.5,0.0,-0.42,-88.5,0.0,9.7,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-11-24,47.05,7.05,126,19,21,0.0,5,0,0.0,46.52,45.98,176.5,0.0,1.07,-50.5,0.0,12.9,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-12-01,58.51,18.51,327,29,27,0.0,5,0,1.0,49.37,45.98,176.5,0.0,12.53,150.5,0.0,48.3,Moderate
ENG_0003,Employee_0003,Mobile,Senior,2025-12-08,45.7,5.7,123,23,21,0.0,5,0,0.0,49.2,45.98,176.5,0.0,-0.28,-53.5,0.0,13.2,Low
ENG_0003,Employee_0003,Mobile,Senior,2025-12-15,59.36,19.36,358,15,32,0.0,5,0,1.0,52.66,45.98,176.5,0.0,13.38,181.5,0.0,55.7,Moderate
ENG_0003,Employee_0003,Mobile,Senior,2025-12-22,57.06,17.06,301,25,19,0.0,5,0,1.0,55.16,45.98,176.5,0.0,11.08,124.5,0.0,49.4,Moderate
ENG_0003,Employee_0003,Mobile,Senior,2025-12-29,34.86,2.86,93,8,21,1.0,4,0,0.0,49.24,45.98,176.5,0.0,-11.12,-83.5,1.0,8.3,Low
ENG_0003,Employee_0003,Mobile,Senior,2026-01-05,47.54,7.54,63,17,37,0.0,5,0,0.0,49.7,45.98,176.5,0.0,1.56,-113.5,0.0,16.9,Low
ENG_0003,Employee_0003,Mobile,Senior,2026-01-12,44.13,4.13,86,15,29,0.0,5,0,0.0,45.9,45.98,176.5,0.0,-1.85,-90.5,0.0,7.2,Low
ENG_0003,Employee_0003,Mobile,Senior,2026-01-19,47.1,7.1,179,22,22,0.0,5,0,0.0,43.41,45.98,176.5,0.0,1.12,2.5,0.0,12.6,Low
ENG_0003,Employee_0003,Mobile,Senior,2026-01-26,48.26,8.26,191,25,29,0.0,5,0,0.0,46.76,45.98,176.5,0.0,2.28,14.5,0.0,16.4,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-06-30,24.51,0.87,68,9,14,1.0,3,0,0.0,24.51,40.695,84.0,0.0,-16.19,-16.0,1.0,1.5,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-07-07,52.18,12.18,271,24,27,0.0,5,0,1.0,38.34,40.695,84.0,0.0,11.48,187.0,0.0,36.9,Moderate
ENG_0004,Employee_0004,QA Automation,Mid,2025-07-14,40.91,1.22,121,14,27,0.0,5,0,0.0,39.2,40.695,84.0,0.0,0.21,37.0,0.0,5.2,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-07-21,49.87,9.87,264,20,21,0.0,5,0,1.0,41.87,40.695,84.0,0.0,9.17,180.0,0.0,33.4,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-07-28,39.74,0.11,69,14,32,0.0,5,0,0.0,45.68,40.695,84.0,0.0,-0.95,-15.0,0.0,5.2,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-08-04,37.75,0.05,87,20,21,0.0,5,0,0.0,42.07,40.695,84.0,0.0,-2.94,3.0,0.0,1.7,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-08-11,40.48,0.65,69,13,26,0.0,5,0,0.0,41.96,40.695,84.0,0.0,-0.21,-15.0,0.0,2.4,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-08-18,41.48,1.81,81,16,22,0.0,5,0,0.0,39.86,40.695,84.0,0.0,0.78,-3.0,0.0,3.2,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-08-25,52.56,12.56,252,20,20,0.0,5,0,1.0,43.07,40.695,84.0,0.0,11.87,168.0,0.0,38.4,Moderate
ENG_0004,Employee_0004,QA Automation,Mid,2025-09-01,33.260000000000005,1.36,100,15,27,1.0,4,0,0.0,41.94,40.695,84.0,0.0,-7.43,16.0,1.0,5.0,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-09-08,40.83,1.04,126,12,18,0.0,5,0,0.0,42.03,40.695,84.0,0.0,0.13,42.0,0.0,6.7,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-09-15,31.95,0.91,107,11,15,1.0,4,0,0.0,39.65,40.695,84.0,0.0,-8.75,23.0,1.0,3.5,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-09-22,50.65,10.65,246,27,21,0.0,5,0,1.0,39.17,40.695,84.0,0.0,9.95,162.0,0.0,32.1,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-09-29,39.61,1.2,125,12,33,0.0,5,0,0.0,40.76,40.695,84.0,0.0,-1.09,41.0,0.0,5.6,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-10-06,50.040000000000006,10.04,207,23,19,0.0,5,0,1.0,43.06,40.695,84.0,0.0,9.35,123.0,0.0,30.2,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-10-13,41.05,1.62,116,10,24,0.0,5,0,0.0,45.34,40.695,84.0,0.0,0.35,32.0,0.0,10.1,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-10-20,40.0,0.21,81,13,26,0.0,5,0,0.0,42.68,40.695,84.0,0.0,-0.7,-3.0,0.0,2.4,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-10-27,49.81,9.81,207,25,28,0.0,5,0,1.0,45.22,40.695,84.0,0.0,9.12,123.0,0.0,31.9,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-11-03,37.33,0.0,84,17,36,0.0,5,0,0.0,42.05,40.695,84.0,0.0,-3.37,0.0,0.0,1.4,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-11-10,48.96,8.96,274,20,19,0.0,5,0,1.0,44.02,40.695,84.0,0.0,8.26,190.0,0.0,34.8,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-11-17,39.57,0.73,93,21,34,0.0,5,0,0.0,43.92,40.695,84.0,0.0,-1.12,9.0,0.0,5.3,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-11-24,41.62,1.87,93,13,26,0.0,5,0,0.0,41.87,40.695,84.0,0.0,0.92,9.0,0.0,5.2,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-12-01,42.63,3.36,90,12,21,0.0,5,0,0.0,43.19,40.695,84.0,0.0,1.93,6.0,0.0,8.9,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-12-08,50.14,10.14,271,19,24,0.0,5,0,1.0,43.49,40.695,84.0,0.0,9.44,187.0,0.0,36.1,Moderate
ENG_0004,Employee_0004,QA Automation,Mid,2025-12-15,40.04,1.38,79,12,19,0.0,5,0,0.0,43.61,40.695,84.0,0.0,-0.66,-5.0,0.0,5.3,Low
ENG_0004,Employee_0004,QA Automation,Mid,2025-12-22,49.91,9.91,272,21,25,0.0,5,0,1.0,45.68,40.695,84.0,0.0,9.21,188.0,0.0,38.0,Moderate
ENG_0004,Employee_0004,QA Automation,Mid,2025-12-29,23.76,1.15,72,14,14,2.0,3,0,0.0,40.96,40.695,84.0,0.0,-16.93,-12.0,2.0,2.3,Low
ENG_0004,Employee_0004,QA Automation,Mid,2026-01-05,40.01,0.92,79,27,24,0.0,5,0,0.0,38.43,40.695,84.0,0.0,-0.69,-5.0,0.0,1.6,Low
ENG_0004,Employee_0004,QA Automation,Mid,2026-01-12,39.71,1.31,109,23,27,0.0,5,0,0.0,38.35,40.695,84.0,0.0,-0.98,25.0,0.0,4.4,Low
ENG_0004,Employee_0004,QA Automation,Mid,2026-01-19,39.63,0.61,79,15,28,0.0,5,0,0.0,35.78,40.695,84.0,0.0,-1.06,-5.0,0.0,1.1,Low
ENG_0004,Employee_0004,QA Automation,Mid,2026-01-26,30.71,0.0,72,11,14,1.0,4,0,0.0,37.52,40.695,84.0,0.0,-9.98,-12.0,1.0,0.0,Low
ENG_0005,Employee_0005,Platform,Junior,2025-06-30,36.78,4.78,349,5,29,0.0,4,0,1.0,36.78,36.525,326.0,0.0,0.26,23.0,0.0,10.5,Low
ENG_0005,Employee_0005,Platform,Junior,2025-07-07,35.15,0.0,303,13,30,0.0,5,0,0.0,35.97,36.525,326.0,0.0,-1.38,-23.0,0.0,0.0,Low
ENG_0005,Employee_0005,Platform,Junior,2025-07-14,47.93,7.93,491,8,24,0.0,5,0,1.0,39.95,36.525,326.0,0.0,11.4,165.0,0.0,31.1,Low
ENG_0005,Employee_0005,Platform,Junior,2025-07-21,37.28,0.27,297,5,28,0.0,5,0,0.0,39.28,36.525,326.0,0.0,0.76,-29.0,0.0,3.2,Low
ENG_0005,Employee_0005,Platform,Junior,2025-07-28,36.27,0.0,361,6,21,0.0,5,0,0.0,39.16,36.525,326.0,0.0,-0.26,35.0,0.0,5.6,Low
ENG_0005,Employee_0005,Platform,Junior,2025-08-04,28.25,0.0,216,9,25,1.0,4,0,0.0,37.43,36.525,326.0,0.0,-8.27,-110.0,1.0,0.9,Low
ENG_0005,Employee_0005,Platform,Junior,2025-08-11,44.9,4.9,411,7,28,0.0,5,0,1.0,36.67,36.525,326.0,0.0,8.38,85.0,0.0,15.8,Low
ENG_0005,Employee_0005,Platform,Junior,2025-08-18,33.12,3.83,285,11,29,2.0,4,1,1.0,35.64,36.525,326.0,0.0,-3.41,-41.0,2.0,6.7,Low
ENG_0005,Employee_0005,Platform,Junior,2025-08-25,22.78,0.0,170,7,16,2.0,3,0,0.0,32.26,36.525,326.0,0.0,-13.74,-156.0,2.0,0.0,Low
ENG_0005,Employee_0005,Platform,Junior,2025-09-01,34.91,0.0,289,12,14,0.0,5,0,0.0,33.93,36.525,326.0,0.0,-1.62,-37.0,0.0,0.0,Low
ENG_0005,Employee_0005,Platform,Junior,2025-09-08,22.87,0.0,159,10,12,2.0,3,0,0.0,28.42,36.525,326.0,0.0,-13.65,-167.0,2.0,0.0,Low
ENG_0005,Employee_0005,Platform,Junior,2025-09-15,35.84,0.0,312,8,28,0.0,5,0,0.0,29.1,36.525,326.0,0.0,-0.68,-14.0,0.0,0.0,Low
ENG_0005,Employee_0005,Platform,Junior,2025-09-22,38.36,0.62,292,10,23,0.0,5,0,0.0,33.0,36.525,326.0,0.0,1.84,-34.0,0.0,1.1,Low
ENG_0005,Employee_0005,Platform,Junior,2025-09-29,35.8,0.0,336,10,23,0.0,5,0,0.0,33.22,36.525,326.0,0.0,-0.73,10.0,0.0,0.8,Low
ENG_0005,Employee_0005,Platform,Junior,2025-10-06,29.42,0.03,253,3,24,1.0,4,0,0.0,34.86,36.525,326.0,0.0,-7.1,-73.0,1.0,0.1,Low
ENG_0005,Employee_0005,Platform,Junior,2025-10-13,14.54,0.1,133,4,12,3.0,2,0,0.0,29.53,36.525,326.0,0.0,-21.98,-193.0,3.0,0.2,Low
ENG_0005,Employee_0005,Platform,Junior,2025-10-20,45.86,5.86,478,13,23,0.0,5,0,1.0,31.4,36.525,326.0,0.0,9.34,152.0,0.0,22.9,Low
ENG_0005,Employee_0005,Platform,Junior,2025-10-27,45.36,5.36,472,10,24,0.0,5,0,1.0,33.8,36.525,326.0,0.0,8.84,146.0,0.0,21.5,Low
ENG_0005,Employee_0005,Platform,Junior,2025-11-03,30.82,0.34,247,11,21,1.0,4,0,0.0,34.14,36.525,326.0,0.0,-5.7,-79.0,1.0,0.6,Low
ENG_0005,Employee_0005,Platform,Junior,2025-11-10,50.38,4.59,514,12,25,0.0,6,1,1.0,43.1,36.525,326.0,0.0,13.86,188.0,0.0,30.3,Low
ENG_0005,Employee_0005,Platform,Junior,2025-11-17,29.57,0.0,225,10,18,1.0,4,0,0.0,39.03,36.525,326.0,0.0,-6.95,-101.0,1.0,2.5,Low
ENG_0005,Employee_0005,Platform,Junior,2025-11-24,29.62,0.22,225,9,20,1.0,4,0,0.0,35.1,36.525,326.0,0.0,-6.9,-101.0,1.0,0.4,Low
ENG_0005,Employee_0005,Platform,Junior,2025-12-01,51.83,5.72,442,17,23,0.0,6,1,1.0,40.35,36.525,326.0,0.0,15.3,116.0,0.0,23.5,Low
